Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path
nixtla-baseline-lab,"Data scientists, ML practitioners","Run statistical forecasting baseline models (AutoETS, AutoTheta, SeasonalNaive) on M4 benchmark datasets and return accuracy metrics (sMAPE, MASE)","Model benchmarking, baseline comparison, forecast accuracy validation","Claude Code plugin with MCP server; statsforecast, datasetsforecast, local Python","Generates results CSV with per-model metrics; smoke test completes successfully; MCP server responds","Demonstrates statsforecast models work; enables model comparison","sMAPE < 5% on M4 Daily; smoke test < 90 seconds",true,live,005-plugins/nixtla-baseline-lab/
nixtla-bigquery-forecaster,"Data engineers, Google Cloud users","Query BigQuery datasets, run statsforecast models, return forecasts as JSON; deploy via Cloud Functions","BigQuery pipeline integration, serverless forecast generation","Google Cloud Function (Gen2, Python 3.12); BigQuery connector; JSON output","Cloud Function deploys; HTTP 200 with valid JSON; processes queries without errors","Demonstrates Nixtla + BigQuery integration works","Process 1000 rows in < 10 seconds; deploy via CI/CD",partial,live,005-plugins/nixtla-bigquery-forecaster/
nixtla-search-to-slack,"Content curators, teams wanting Nixtla content discovery","Search web and GitHub for Nixtla content, deduplicate, post to Slack","Content discovery, Slack team updates","Python orchestration; SerpAPI, GitHub API, Slack SDK","Retrieves content; deduplicates by URL; posts to Slack; tests pass","Automates content discovery workflow","Post curated digest to Slack channel without errors",false,live,005-plugins/nixtla-search-to-slack/
nixtla-airflow-operator,"Data engineers managing Airflow DAGs","Enable TimeGPT/StatsForecast execution within Apache Airflow","Schedule forecasting jobs in data pipelines","Airflow DAG operator","Models execute within Airflow; integrates with XCom","Enables Airflow-based forecasting workflows","Execute forecast task in Airflow DAG successfully",false,planned-business-growth,000-docs/000a-planned-plugins/business-growth/nixtla-airflow-operator/
nixtla-anomaly-streaming-monitor,"Real-time monitoring teams, SREs","Stream-based anomaly detection for production metrics","Monitor system health, trigger alerts","Streaming analytics plugin","Detects anomalies in streaming data; generates alerts","Enables real-time anomaly detection","Detect anomaly within 30 seconds of occurrence",false,planned-business-growth,000-docs/000a-planned-plugins/business-growth/nixtla-anomaly-streaming-monitor/
nixtla-dbt-package,"Analytics engineers, data teams","Native dbt integration for TimeGPT forecasting","Generate forecasts as part of dbt jobs","dbt package","Integrates with dbt; materializes predictions as tables","Enables forecasting in dbt workflows","dbt run completes with forecast table materialized",false,planned-business-growth,000-docs/000a-planned-plugins/business-growth/nixtla-dbt-package/
nixtla-roi-calculator,"Sales teams, finance","Interactive calculator for TimeGPT ROI estimation","Sales demos, business case validation","Web-based calculator","Generates ROI estimates based on inputs","Supports sales conversations","Generate ROI estimate from user inputs in < 2 seconds",false,planned-business-growth,000-docs/000a-planned-plugins/business-growth/nixtla-roi-calculator/
nixtla-snowflake-adapter,"Snowflake users","Query Snowflake data and run forecasts via UDF functions","Integrated forecasting within SQL","Snowflake UDF integration","Executes forecasts within Snowflake; returns results","Enables Snowflake-native forecasting","Execute NIXTLA_FORECAST() UDF and return results",false,planned-business-growth,000-docs/000a-planned-plugins/business-growth/nixtla-snowflake-adapter/
nixtla-vs-statsforecast-benchmark,"ML practitioners, researchers","Benchmarking tool comparing TimeGPT vs StatsForecast","Model selection, performance comparison","Benchmarking framework","Runs benchmarks on datasets; generates comparison reports","Enables informed model selection","Generate benchmark report comparing 3+ models",false,planned-business-growth,000-docs/000a-planned-plugins/business-growth/nixtla-vs-statsforecast-benchmark/
nixtla-cost-optimizer,"Cost management teams","Forecast cloud costs and recommend optimizations","Reduce cloud spend, predict overruns","FinOps plugin","Generates cost forecasts; identifies optimization opportunities","Supports cost management decisions","Generate cost forecast and optimization recommendations",false,planned-internal-efficiency,000-docs/000a-planned-plugins/internal-efficiency/nixtla-cost-optimizer/
nixtla-forecast-explainer,"Business analysts, non-technical users","Generate plain-English explanations of forecast results","Communicate forecasts to business teams","Explanation layer","Generates human-readable forecast explanations","Makes forecasts accessible to non-technical users","Generate explanation readable by non-technical user",false,planned-internal-efficiency,000-docs/000a-planned-plugins/internal-efficiency/nixtla-forecast-explainer/
nixtla-migration-assistant,"Organizations migrating from other tools","Guided migration from legacy forecasting systems to TimeGPT","Simplify conversion process","Migration tool","Converts legacy code; validates output equivalence","Eases transition to Nixtla tools","Convert Prophet/SARIMA code to TimeGPT equivalent",false,planned-internal-efficiency,000-docs/000a-planned-plugins/internal-efficiency/nixtla-migration-assistant/
nixtla-defi-sentinel,"DeFi security teams, crypto traders","Anomaly detection on blockchain metrics for exploit detection","Monitor TVL, gas patterns","DeFi monitoring prototype","Detects anomalies in blockchain data; generates alerts","Demonstrates TimeGPT on blockchain data (experimental)","Detect anomaly in blockchain data stream",false,planned-vertical-defi,000-docs/000a-planned-plugins/vertical-defi/nixtla-defi-sentinel/
